ID,电影名称,评分,评价人数,短评数量,影评数量,片长,语言,类型,导演,制片国家/地区,上映日期,看过人数,想看人数,星级,五星,四星,三星,二星,一星
1,江湖医生 Šarlatán,7.5,2093,931,22,118,捷克语,剧情/同性/传记/历史,阿格涅丝卡·霍兰,爱尔兰,2020-02-27,2349,3829,4.0,0.157,0.48700000000000004,0.322,0.026000000000000002,0.008
2,蝴蝶梦 Rebecca,5.6,6108,2494,29,121,英语,剧情/爱情/悬疑/惊悚,本·维特利,英国,2020-10-21,7546,4690,3.0,0.044000000000000004,0.134,0.47600000000000003,0.282,0.064
3,夜关门：欲望之花 야관문 : 욕망의 꽃,5.4,7652,1908,33,93,韩语,剧情/爱情,林庆洙,韩国,2013-11-07,12934,4763,2.5,0.049,0.109,0.433,0.309,0.1
4,勇敢爱之末日来电,6.0,2414,360,1,19,汉语普通话,剧情/爱情,叶念琛,中国香港,2012-08-23,5196,591,3.0,0.098,0.156,0.462,0.196,0.087
5,下水井 맨홀,5.7,5540,1550,27,100,韩语,剧情/悬疑/惊悚,申载英,韩国,2014-10-08,7524,2479,3.0,0.06,0.14,0.46299999999999997,0.249,0.08800000000000001
6,柏林综合症 Berlin Syndrome,6.2,3797,1170,14,116,英语,剧情/悬疑/惊悚,凯特·绍特兰,澳大利亚,2017-01-20,4524,4835,3.0,0.059000000000000004,0.198,0.552,0.16699999999999998,0.024
7,沙海漂流人 The Rover,6.6,3028,1166,16,103,英语,剧情/犯罪,大卫·米奇欧德,澳大利亚,2014-05-18,4125,2953,3.5,0.08800000000000001,0.29100000000000004,0.465,0.132,0.025
8,一百零八,5.0,8574,5420,75,108,汉语普通话,剧情/爱情,孔嘉欢,中国大陆,2021-05-15,16239,4113,2.5,0.049,0.063,0.38,0.369,0.139
9,新奇 Newness,6.3,3562,1378,32,117,英语,剧情/爱情,德雷克·多雷穆斯,美国,2017-01-25,4238,4121,3.0,0.081,0.23800000000000002,0.47600000000000003,0.17600000000000002,0.03
10,天堂奇迹 Miracles From Heaven,7.6,2011,784,26,109,英语,剧情,派翠西亚·里根,美国,2016-03-16,2355,2340,4.0,0.247,0.355,0.345,0.037000000000000005,0.016
11,蜘蛛梦魇 Spider,7.2,2318,754,13,98,英语,剧情/悬疑,大卫·柯南伯格,加拿大,2002-05-21,2913,6337,3.5,0.129,0.441,0.365,0.053,0.013000000000000001
12,皮肤 Skin,7.2,2318,480,2,110,英语,剧情,盖·纳蒂弗,美国,2018-09-08,3542,5776,3.5,0.146,0.375,0.41200000000000003,0.052000000000000005,0.015
13,不忠者 Les Infidèles,6.3,3546,1494,10,109,法语,剧情/喜剧,让·杜雅尔丹,法国,2012-02-29,4475,5867,3.0,0.064,0.244,0.513,0.147,0.032
14,橘子 The Oranges,6.2,3768,1604,24,90,英语,剧情/喜剧/爱情,朱利安·法里诺,美国,2011-09-10,5635,2695,3.0,0.049,0.21100000000000002,0.5539999999999999,0.157,0.028999999999999998
15,低下层 どん底,7.4,2148,756,22,137,日语,剧情,黑泽明,日本,1957-09-17,2874,2621,3.5,0.192,0.4,0.349,0.048,0.01
16,亿万富翁 Kajillionaire,6.8,2735,1106,14,106,英语,剧情/犯罪,米兰达·裘丽,美国,2020-01-25,3221,3215,3.5,0.141,0.309,0.41,0.105,0.035
17,木星之卫 Jupiter holdja,6.3,3540,1728,26,123,匈牙利语,剧情/科幻,凯内尔·穆德卢佐,匈牙利,2017-05-19,4100,4935,3.0,0.054000000000000006,0.28300000000000003,0.475,0.152,0.035
18,梅格雷在蒙马特 Maigret in Montmartre,7.5,2070,427,3,89,英语,剧情/悬疑/犯罪,萨杜斯·奥沙利文,英国,2017-12-24,2465,1699,4.0,0.17300000000000001,0.434,0.345,0.044000000000000004,0.003
19,契卡 Чекист,7.4,2144,860,15,93,俄语,剧情,亚历山大·罗戈日金,俄罗斯,1992-09-12,2802,8427,3.5,0.191,0.42200000000000004,0.317,0.05,0.021
20,遗失在火中的记忆 Things We Lost in the Fire,7.3,2222,390,31,118,英语,剧情,苏珊娜·比尔,美国,2007-10-19,3493,2396,3.5,0.14800000000000002,0.41200000000000003,0.375,0.052000000000000005,0.013000000000000001
21,单刀直入 A Man Apart,6.1,4004,499,9,109,英语,剧情/动作/犯罪,F·加里·格雷,美国,2004-11-17,5257,1193,3.0,0.053,0.183,0.575,0.163,0.026000000000000002
22,感官新世界 SADA〜戯作・阿部定の生涯,6.6,3000,731,10,132,日语,剧情/传记,大林宣彦,日本,1998-02-21,4551,7237,3.5,0.095,0.275,0.494,0.109,0.027000000000000003
23,有种,5.7,3036,1355,47,93,汉语普通话,剧情/爱情,张元,中国大陆,2013-11-08,3788,2973,3.0,0.064,0.16899999999999998,0.414,0.252,0.10099999999999999
